artist_name,track_name,album_name,track_type,streams_total,streams_daily,scraping_date
Damso,ZWAAR,,solo,15833083,3026,2025-12-16
Damso,Quotidien de baisé,,solo,14948752,4033,2025-12-16
Damso,JCVDEMS,,solo,14678163,27382,2025-12-16
Damso,QuedelaVie,,solo,14054383,3117,2025-12-16
Damso,Magic (feat. I.A.),,solo,13471498,20820,2025-12-16
Damso,Sombre,,solo,12996628,3116,2025-12-16
Damso,Laisse-moi tranquille.,,solo,12464388,8231,2025-12-16
Damso,CHROME,,solo,12220958,6726,2025-12-16
Damso,Qui m'a demandé,,solo,11486547,22299,2025-12-16
Damso,Schéma,,solo,11022151,9161,2025-12-16
Damso,Limbisa ngai,,solo,10963399,7598,2025-12-16
Damso,Etranger (feat. Damso),,feat,10961995,4214,2025-12-16
Damso,Tout tenter,,solo,10540140,7800,2025-12-16
Damso,Mucho Dinero,,solo,10489308,1378,2025-12-16
Damso,THEVIE RADIO (Interlude),,solo,9842888,946,2025-12-16
Damso,Frère,,solo,9412964,14658,2025-12-16
Damso,RVRE,,feat,9235203,1023,2025-12-16
Damso,I Love You,,feat,8754383,1961,2025-12-16
Damso,T'es mon DEL,,solo,8572270,15964,2025-12-16
Damso,VIE OLENCE,,solo,8415307,14757,2025-12-16
Damso,ParoVie (feat. Damso),,feat,8255699,722,2025-12-16
Damso,Mony (feat. Michkavie),,solo,8001427,4860,2025-12-16
Damso,Conséquences,,solo,7900282,6014,2025-12-16
Damso,Grand Soleil,,solo,7829686,15389,2025-12-16
Damso,Wolof,,solo,7821501,11407,2025-12-16
Damso,KAKI,,solo,7743924,16507,2025-12-16
Damso,Praliné,,feat,7700904,1456,2025-12-16
Damso,YA TENGO SENTIMIENTOS,,solo,7153399,10454,2025-12-16
Damso,Slow,,feat,6763077,1583,2025-12-16
Damso,24h plus tôt,,solo,6673284,5553,2025-12-16
Damso,FREE CONGO,,feat,6252951,6514,2025-12-16
Damso,Lubie,,feat,5933094,1763,2025-12-16
Damso,Police,,solo,5733926,8098,2025-12-16
Damso,Fibonacci,,solo,5537857,8493,2025-12-16
Damso,Du feu,,feat,5473927,2247,2025-12-16
